Year,Position,Amateur Team,Games,Points,Goalie Wins,Score,Amateur League
1999,D/W,Cincinnati Cyclones (IHL),23.0,3.0,,26.0,
1999,Forward,Sudbury Wolves (OHL),611.0,125.0,,736.0,OHL
1999,Forward,Red Deer Rebels (WHL),38.0,9.0,,47.0,WHL
1999,Forward,HK Dukla Trencin Jr. (Slovakia Jr.),9.0,1.0,,10.0,Tipos Extraliga
1999,Goalie,Soo Indians (NAHL),796.0,12.0,391.0,808.0,NAHL
1999,Forward,Calgary Hitmen (WHL),22.0,2.0,,24.0,WHL
1999,Forward,Maine (H-East),158.0,62.0,,220.0,NCAA
1999,Defence,HC Davos (Swiss),11.0,1.0,,12.0,NL
1999,Forward,HV71 Jr. (Sweden Jr.),3.0,1.0,,4.0,J20 Nationell
1999,Goalie,HC Vitkovice (Czech),57.0,1.0,31.0,58.0,Tipsport Extraliga
1999,Goalie,Windsor Spitfires (OHL),110.0,4.0,37.0,114.0,OHL
1999,Goalie,Cornell (ECAC),1.0,0.0,0.0,1.0,
1999,Forward,Plymouth Whalers (OHL),2.0,2.0,,4.0,OHL
1999,Forward,Guelph Storm (OHL),32.0,3.0,,35.0,OHL
1999,Forward,Port Huron (UHL),18.0,2.0,,20.0,
1999,Forward,HPK (Finland),92.0,13.0,,105.0,SM-liiga
1999,Forward,Berani Ziln Jr. (Czech Jr.),881.0,545.0,,1426.0,Tipsport Extraliga
1999,Forward,London Knights (OHL),630.0,157.0,,787.0,OHL
1999,Forward,HC Trinec (Czech),1.0,0.0,,1.0,Tipsport Extraliga
1999,Forward,Swift Current Broncos (WHL),1.0,0.0,,1.0,WHL
1999,Forward,Timra IK (Sweden-2),1082.0,960.0,,2042.0,Allsvenskan
1999,Forward,Hull Olympiques (QMJHL),1057.0,623.0,,1680.0,QMJHL
1999,Forward,Hull Olympiques (QMJHL),48.0,12.0,,60.0,QMJHL
1999,Defence,Oshawa Generals (OHL),4.0,0.0,,4.0,OHL
1999,Defence,Saskatoon Blades (WHL),408.0,50.0,,458.0,WHL
1999,Forward,South Surrey (BCHL),3.0,0.0,,3.0,BCHL
1999,Forward,Chicago Freeze (NAHL),474.0,36.0,,510.0,NAHL
1999,Defence,HC Ceske Budejovice (Czech),486.0,110.0,,596.0,Tipsport Extraliga
1999,Forward,HC Kladno (Czech),177.0,52.0,,229.0,Tipsport Extraliga
1999,Defence,Dynamo Moskva (Russia),348.0,102.0,,450.0,KHL
1999,Defence,HC Fribourg-Gotteron (Swiss),3.0,0.0,,3.0,NL
1999,Defence,MoDo Hockey (Sweden),3.0,1.0,,4.0,SHL
1999,Defence,Green Bay Gamblers (USHL),199.0,57.0,,256.0,USHL
1999,Defence,New York (EJHL),518.0,64.0,,582.0,
1999,Forward,Jokerit (Finland),63.0,9.0,,72.0,SM-liiga
1999,Forward,TPS (Finland),264.0,76.0,,340.0,SM-liiga
1999,Forward,New Hampshire (H-East),23.0,8.0,,31.0,NCAA
1999,Forward,Des Moines Buccaneers (USHL),21.0,4.0,,25.0,USHL
1999,Forward,Blues (Finland),42.0,9.0,,51.0,SM-liiga
1998,Forward,Rimouski Oceanic (QMJHL),1212.0,949.0,,2161.0,QMJHL
1998,Forward,Plymouth Whalers (OHL),1136.0,618.0,,1754.0,OHL
1998,Defence,Regina Pats (WHL),1056.0,335.0,,1391.0,WHL
1998,Defence,Oshawa Generals (OHL),721.0,136.0,,857.0,OHL
1998,Defence,Torpedo Yaroslavl 2 (Russia-2),552.0,68.0,,620.0,VHL
1998,Forward,London Knights (OHL),230.0,63.0,,293.0,OHL
1998,Forward,Guelph Storm (OHL),991.0,295.0,,1286.0,OHL
1998,Forward,Ottawa 67's (OHL),450.0,182.0,,632.0,OHL
1998,Forward,Erie Otters (OHL),610.0,99.0,,709.0,OHL
1998,Forward,Torpedo Ust-Kamenogorsk (Russia-2),788.0,465.0,,1253.0,VHL
1998,Forward,Sarnia Sting (OHL),32.0,6.0,,38.0,OHL
1998,Forward,Halifax Mooseheads (QMJHL),1088.0,863.0,,1951.0,QMJHL
1998,Goalie,Sarnia Sting (OHL),11.0,0.0,2.0,11.0,OHL
1998,Goalie,Shawinigan Cataractes (QMJHL),1.0,0.0,0.0,1.0,QMJHL
1998,Forward,Quebec Remparts (QMJHL),90.0,22.0,,112.0,QMJHL
1998,Defence,Barrie Colts (OHL),776.0,196.0,,972.0,OHL
1998,Defence,Traktor Chelyabinsk (Russia),539.0,162.0,,701.0,KHL
1998,Defence,Kamloops Blazers (WHL),1089.0,199.0,,1288.0,WHL
1998,Forward,Kelowna Rockets (WHL),308.0,21.0,,329.0,WHL
1998,Defence,Shawinigan Cataractes (QMJHL),253.0,44.0,,297.0,QMJHL
1998,Forward,Quebec Remparts (QMJHL),822.0,601.0,,1423.0,QMJHL
1998,Forward,HC Plzen Jr. (Czech Jr.),207.0,82.0,,289.0,Tipsport Extraliga
1998,Defence,Vastra Frolunda HC Jr. (Sweden Jr.),302.0,79.0,,381.0,J20 Nationell
1998,Defence,Hull Olympiques (QMJHL),305.0,60.0,,365.0,QMJHL
1998,Defence,Michigan (CCHA),353.0,129.0,,482.0,NCAA
1998,Forward,Tri-City Americans (WHL),1079.0,756.0,,1835.0,WHL
1998,Forward,Chicoutimi Sagueneens (QMJHL),68.0,30.0,,98.0,QMJHL
1998,Forward,Belleville Bulls (OHL),501.0,305.0,,806.0,OHL
1998,Defence,Spokane Chiefs (WHL),11.0,1.0,,12.0,WHL
1998,Forward,Dynamo Moskva (Russia),228.0,58.0,,286.0,KHL
1998,Forward,Red Deer Rebels (WHL),130.0,10.0,,140.0,WHL
1998,Forward,Prince George Cougars (WHL),477.0,78.0,,555.0,WHL
1998,Forward,Oshawa Generals (OHL),229.0,7.0,,236.0,OHL
1998,Defence,BK Havlickuv Brod (Czech-2),18.0,3.0,,21.0,Tipsport Extraliga
1998,Forward,Calgary Hitmen (WHL),52.0,14.0,,66.0,WHL
1998,Forward,Farjestad BK Jr. (Sweden Jr.),86.0,27.0,,113.0,J20 Nationell
1998,Goalie,Rimouski Oceanic (QMJHL),32.0,0.0,10.0,32.0,QMJHL
1998,Defence,London Knights (OHL),491.0,54.0,,545.0,OHL
1998,Defence,Jokerit Jr. (Finland Jr.),479.0,68.0,,547.0,SM-liiga
1998,Forward,Sudbury Wolves (OHL),1104.0,589.0,,1693.0,OHL
1998,Forward,Rouyn-Noranda Huskies (QMJHL),1074.0,793.0,,1867.0,QMJHL
1998,Forward,Belleville Bulls (OHL),81.0,19.0,,100.0,OHL
1998,Forward,Sudbury Wolves (OHL),29.0,6.0,,35.0,OHL
1998,Defence,Laval Titan College Francais (QMJHL),150.0,44.0,,194.0,QMJHL
1998,Forward,HC Ziln (Czech),6.0,0.0,,6.0,Tipsport Extraliga
1998,Defence,Boston College (H-East),51.0,3.0,,54.0,NCAA
1998,Forward,Harvard (ECAC),69.0,12.0,,81.0,
1998,Forward,Sudbury Wolves (OHL),2.0,0.0,,2.0,OHL
1998,Forward,Prince George Cougars (WHL),91.0,12.0,,103.0,WHL
1998,Forward,Harvard (ECAC),6.0,1.0,,7.0,
1998,Forward,Ak Bars Kazan (Russia),352.0,138.0,,490.0,KHL
1998,Defence,Boston University (H-East),174.0,23.0,,197.0,NCAA
1998,Defence,Colorado College (WCHA),8.0,0.0,,8.0,
1998,Defence,Red Deer Rebels (WHL),209.0,16.0,,225.0,WHL
1998,Forward,Rimouski Oceanic (QMJHL),1126.0,932.0,,2058.0,QMJHL
1998,Goalie,Portland Winterhawks (WHL),187.0,2.0,62.0,189.0,WHL
1998,Defence,London Knights (OHL),177.0,11.0,,188.0,OHL
1998,Forward,HIFK (Finland),652.0,142.0,,794.0,SM-liiga
1998,Forward,Clarkson (ECAC),892.0,532.0,,1424.0,
1998,Forward,Torpedo Yaroslavl 2 (Russia-2),227.0,54.0,,281.0,VHL
1998,Defence,HC Lugano (Swiss),1.0,0.0,,1.0,NL
1998,Defence,Laval Titan College Francais (QMJHL),903.0,288.0,,1191.0,QMJHL
1998,Forward,St. Sebastian's School (High-MA),3.0,0.0,,3.0,High School
1998,Forward,Farjestad BK (Sweden),2.0,0.0,,2.0,SHL
1998,Forward,Boston College (H-East),1026.0,595.0,,1621.0,NCAA
1998,Defence,Portland Winterhawks (WHL),314.0,30.0,,344.0,WHL
1998,Forward,Dynamo Moskva 2 (Russia-2),678.0,323.0,,1001.0,VHL
1998,Forward,Soo Greyhounds (OHL),8.0,2.0,,10.0,OHL
1998,Forward,HC Slavia Praha Jr. (Czech Jr.),460.0,183.0,,643.0,Tipsport Extraliga
1998,Forward,Guelph Storm (OHL),53.0,11.0,,64.0,OHL
1998,Forward,Brynas IF (Sweden),203.0,22.0,,225.0,SHL
1998,Defence,HIFK (Finland),1.0,0.0,,1.0,SM-liiga
1998,Defence,North Bay Centennials (OHL),219.0,18.0,,237.0,OHL
1998,Forward,Michigan State (CCHA),1008.0,511.0,,1519.0,NCAA
1998,Forward,Torpedo Yaroslavl (Russia),129.0,40.0,,169.0,KHL
1998,Forward,Sudbury Wolves (OHL),61.0,2.0,,63.0,OHL
1998,Forward,HKm Nitra (Slovakia),12.0,3.0,,15.0,Tipos Extraliga
1998,Forward,Rouyn-Noranda Huskies (QMJHL),142.0,58.0,,200.0,QMJHL
1998,Forward,London Knights (OHL),381.0,35.0,,416.0,OHL
1998,Forward,Princeton (ECAC),8.0,1.0,,9.0,
1998,Goalie,Sherbrooke Faucons (QMJHL),57.0,1.0,18.0,58.0,QMJHL
1998,Forward,Regina Pats (WHL),31.0,3.0,,34.0,WHL
1998,Defence,Providence (H-East),70.0,3.0,,73.0,NCAA
1998,Defence,Farjestad BK (Sweden),880.0,355.0,,1235.0,SHL
1998,Forward,Lloydminster (AJHL),2.0,0.0,,2.0,AJHL
1998,Forward,Miami (Ohio) (CCHA),50.0,8.0,,58.0,NCAA
1998,Forward,HC Vsetin (Czech),73.0,33.0,,106.0,Tipsport Extraliga
1998,Forward,Rimouski Oceanic (QMJHL),10.0,0.0,,10.0,QMJHL
1998,Defence,Red Deer Rebels (WHL),22.0,3.0,,25.0,WHL
1998,Defence,HC Slavia Praha Jr. (Czech Jr.),141.0,10.0,,151.0,Tipsport Extraliga
1998,Forward,Fort Wayne Komets (IHL),30.0,3.0,,33.0,
1998,Defence,Boston College (H-East),783.0,110.0,,893.0,NCAA
1998,Goalie,Sudbury Wolves (OHL),280.0,3.0,113.0,283.0,OHL
1998,Forward,Laval Titan College Francais (QMJHL),31.0,1.0,,32.0,QMJHL
1998,Forward,Sodertalje SK (Sweden),699.0,346.0,,1045.0,SHL
1998,Forward,Prince George Cougars (WHL),497.0,236.0,,733.0,WHL
1998,Forward,Quebec Remparts (QMJHL),108.0,5.0,,113.0,QMJHL
1998,Forward,AIK (Sweden),32.0,9.0,,41.0,SHL
1998,Defence,Kitchener Rangers (OHL),55.0,5.0,,60.0,OHL
1998,Defence,Clarkson (ECAC),318.0,68.0,,386.0,
1998,Forward,Farjestad BK Jr. (Sweden Jr.),79.0,19.0,,98.0,J20 Nationell
1998,Forward,North Bay Centennials (OHL),1026.0,250.0,,1276.0,OHL
1998,Defence,Khimik Voskresensk (Russia-2),990.0,572.0,,1562.0,VHL
1998,Defence,HC Ziln (Czech),25.0,8.0,,33.0,Tipsport Extraliga
1998,Forward,HC Ceske Budejovice (Czech),542.0,284.0,,826.0,Tipsport Extraliga
1998,Goalie,TPS Jr. (Finland Jr.),234.0,3.0,95.0,237.0,SM-liiga
1998,Forward,Dynamo-Energiya Yekaterinburg (Russia),953.0,918.0,,1871.0,KHL
1998,Forward,HPK (Finland),397.0,126.0,,523.0,SM-liiga
1998,Defence,Minnesota-Duluth (WCHA),16.0,0.0,,16.0,
1998,Defence,London Knights (OHL),42.0,5.0,,47.0,OHL
1998,Forward,Fargo-Moorhead Ice Sharks (USHL),487.0,245.0,,732.0,USHL
1998,Goalie,Phillps-Exeter Academy (High-NH),29.0,1.0,11.0,30.0,High School
1998,Forward,Minnesota (WCHA),27.0,3.0,,30.0,
1998,Forward,Calgary Hitmen (WHL),8.0,3.0,,11.0,WHL
1998,Goalie,HC Kosice Jr. (Slovakia Jr.),6.0,0.0,1.0,6.0,Tipos Extraliga
1998,Forward,HC Slavia Praha (Czech),5.0,1.0,,6.0,Tipsport Extraliga
1998,Defence,Farjestad BK Jr. (Sweden Jr.),41.0,7.0,,48.0,J20 Nationell
1998,Forward,Leksands IF (Sweden),54.0,7.0,,61.0,SHL
1998,Forward,HC MBL Olomouc (Czech-2),134.0,29.0,,163.0,Tipsport Extraliga
1998,Defence,Catholic Memorial School (High-MA),92.0,25.0,,117.0,High School
1998,Forward,Hull Olympiques (QMJHL),806.0,484.0,,1290.0,QMJHL
1998,Forward,HC Vitkovice (Czech),1.0,0.0,,1.0,Tipsport Extraliga
1998,Forward,Providence (H-East),13.0,0.0,,13.0,NCAA
1998,Defence,TPS (Finland),832.0,136.0,,968.0,SM-liiga
1998,Defence,Lulea HF (Sweden),23.0,2.0,,25.0,SHL
1998,Forward,HC Kometa Brno (Czech-2),6.0,1.0,,7.0,Tipsport Extraliga
1998,Forward,Colorado College (WCHA),398.0,81.0,,479.0,
1998,Goalie,Olds (AJHL),5.0,0.0,1.0,5.0,AJHL
1998,Forward,HK 32 Liptovsky Mikulas (Slovakia),154.0,23.0,,177.0,Tipos Extraliga
1998,Defence,Baie-Comeau Drakkar (QMJHL),67.0,10.0,,77.0,QMJHL
1998,Forward,Avon Old Farms School (High-CT),21.0,4.0,,25.0,High School
1998,Forward,Red Wing HS (High-MN),115.0,38.0,,153.0,High School
1997,Forward,Soo Greyhounds (OHL),1714.0,1539.0,,3253.0,OHL
1997,Forward,Seattle Thunderbirds (WHL),1779.0,1197.0,,2976.0,WHL
1997,Forward,HIFK (Finland),1231.0,750.0,,1981.0,SM-liiga
1997,Goalie,Val-d'Or Foreurs (QMJHL),1044.0,23.0,489.0,1067.0,QMJHL
1997,Defence,Prince George Cougars (WHL),1009.0,271.0,,1280.0,WHL
1997,Forward,Barrie Colts (OHL),19.0,11.0,,30.0,OHL
1997,Defence,Sudbury Wolves (OHL),734.0,253.0,,987.0,OHL
1997,Forward,Detroit Vipers (IHL),888.0,571.0,,1459.0,
1997,Defence,Ottawa 67's (OHL),605.0,144.0,,749.0,OHL
1997,Defence,Spokane Chiefs (WHL),250.0,34.0,,284.0,WHL
1997,Forward,Erie Otters (OHL),336.0,81.0,,417.0,OHL
1997,Forward,HK Dukla Trencin (Slovakia),1309.0,1134.0,,2443.0,Tipos Extraliga
1997,Forward,Belleville Bulls (OHL),938.0,387.0,,1325.0,OHL
1997,Forward,EHC Biel-Bienne (Swiss-2),12.0,1.0,,13.0,NL
1997,Forward,Spokane Chiefs (WHL),14.0,0.0,,14.0,WHL
1997,Forward,Las Vegas Thunder (IHL),53.0,14.0,,67.0,
1997,Forward,Djurgardens IF Jr. (Sweden Jr.),156.0,35.0,,191.0,J20 Nationell
1997,Forward,Red Deer Rebels (WHL),34.0,3.0,,37.0,WHL
1997,Goalie,Tappara (Finland),71.0,1.0,23.0,72.0,SM-liiga
1997,Defence,Belleville Bulls (OHL),2.0,0.0,,2.0,OHL
1997,Defence,Kelowna Rockets (WHL),1055.0,217.0,,1272.0,WHL
1997,Goalie,Moncton Wildcats (QMJHL),6.0,0.0,1.0,6.0,QMJHL
1997,Forward,Portland Winterhawks (WHL),991.0,575.0,,1566.0,WHL
1997,Forward,Minnesota (WCHA),438.0,129.0,,567.0,
1997,Forward,North Dakota (WCHA),9.0,3.0,,12.0,
1997,Forward,Peterborough Petes (OHL),27.0,11.0,,38.0,OHL
1997,Goalie,Cornell (ECAC),7.0,0.0,1.0,7.0,
1997,Forward,Windsor Spitfires (OHL),4.0,0.0,,4.0,OHL
1997,Defence,Saskatoon Blades (WHL),3.0,0.0,,3.0,WHL
1997,Defence,Sherbrooke Faucons (QMJHL),71.0,5.0,,76.0,QMJHL
1997,Forward,Detroit Jr. Whalers (OHL),146.0,63.0,,209.0,OHL
1997,Forward,HC Slovan Bratislava (Slovakia),1.0,0.0,,1.0,Tipos Extraliga
1997,Forward,Seattle Thunderbirds (WHL),99.0,6.0,,105.0,WHL
1997,Forward,Oshawa Generals (OHL),43.0,9.0,,52.0,OHL
1997,Forward,Lada Togliatti (Russia),6.0,1.0,,7.0,KHL
1997,Forward,Farjestad BK (Sweden),662.0,451.0,,1113.0,SHL
1997,Defence,AIK Jr. (Sweden Jr.),678.0,142.0,,820.0,J20 Nationell
1997,Forward,Lada Togliatti (Russia),99.0,14.0,,113.0,KHL
1997,Forward,Peterborough Petes (OHL),14.0,2.0,,16.0,OHL
1997,Forward,Torpedo Yaroslavl (Russia),139.0,23.0,,162.0,KHL
1997,Defence,Seattle Thunderbirds (WHL),197.0,15.0,,212.0,WHL
1997,Forward,Boston College (H-East),11.0,2.0,,13.0,NCAA
1997,Goalie,TPS (Finland),76.0,0.0,29.0,76.0,SM-liiga
1997,Forward,Windsor Spitfires (OHL),16.0,2.0,,18.0,OHL
1997,Forward,North Dakota (WCHA),67.0,9.0,,76.0,
1997,Forward,Regina Pats (WHL),23.0,1.0,,24.0,WHL
1997,Forward,Lincoln Stars (USHL),143.0,32.0,,175.0,USHL
1997,Forward,Dynamo Moskva (Russia),651.0,395.0,,1046.0,KHL
1997,Forward,Denver (WCHA),12.0,3.0,,15.0,
1997,Defence,HC Ceske Budejovice Jr. (Czech Jr.),349.0,49.0,,398.0,Tipsport Extraliga
1997,Defence,Brandon Wheat Kings (WHL),39.0,8.0,,47.0,WHL
1997,Forward,Barrie Colts (OHL),15.0,0.0,,15.0,OHL
1997,Forward,HC Pardubice (Czech),12.0,4.0,,16.0,Tipsport Extraliga
1997,Forward,Kamloops Blazers (WHL),33.0,2.0,,35.0,WHL
1997,Forward,Tappara (Finland),385.0,117.0,,502.0,SM-liiga
1997,Defence,HC Slavia Praha Jr. (Czech Jr.),22.0,3.0,,25.0,Tipsport Extraliga
1997,Forward,Val-d'Or Foreurs (QMJHL),115.0,4.0,,119.0,QMJHL
1997,Defence,Western Michigan (CCHA),708.0,310.0,,1018.0,NCAA
1997,Forward,Owen Sound Platers (OHL),615.0,114.0,,729.0,OHL
1997,Forward,HC Slavia Praha (Czech),3.0,0.0,,3.0,Tipsport Extraliga
1997,Forward,Swift Current Broncos (WHL),294.0,48.0,,342.0,WHL
1997,Forward,Lethbridge Hurricanes (WHL),174.0,74.0,,248.0,WHL
1997,Forward,Krylia Sovetov Moskva (Russia),234.0,75.0,,309.0,KHL
1997,Forward,Belleville Bulls (OHL),7.0,1.0,,8.0,OHL
1997,Forward,Kelowna Rockets (WHL),79.0,11.0,,90.0,WHL
1997,Defence,Seattle Thunderbirds (WHL),9.0,0.0,,9.0,WHL
1997,Forward,Notre Dame (CCHA),81.0,4.0,,85.0,NCAA
1997,Defence,Kelowna Rockets (WHL),3.0,2.0,,5.0,WHL
1997,Forward,Farjestad BK (Sweden),434.0,225.0,,659.0,SHL
1997,Forward,Medicine Hat Tigers (WHL),1107.0,415.0,,1522.0,WHL
1997,Forward,Regina Pats (WHL),590.0,294.0,,884.0,WHL
1997,Forward,HC Kosice (Slovakia),62.0,13.0,,75.0,Tipos Extraliga
1997,Forward,HV71 (Sweden),38.0,4.0,,42.0,SHL
1997,Forward,Michigan State (CCHA),579.0,322.0,,901.0,NCAA
1997,Forward,Windsor Spitfires (OHL),7.0,1.0,,8.0,OHL
1997,Forward,Windsor Spitfires (OHL),1046.0,398.0,,1444.0,OHL
1997,Defence,TPS (Finland),40.0,6.0,,46.0,SM-liiga
1997,Defence,Ottawa 67's (OHL),1082.0,504.0,,1586.0,OHL
1997,Forward,Red Deer Rebels (WHL),1.0,0.0,,1.0,WHL
1997,Defence,SERC Wild Wings (DEL),22.0,0.0,,22.0,
1997,Goalie,HC Fribourg-Gotteron (Swiss),214.0,5.0,106.0,219.0,NL
1997,Forward,Kelowna Rockets (WHL),545.0,97.0,,642.0,WHL
1997,Forward,Maine (H-East),175.0,45.0,,220.0,NCAA
1997,Goalie,Brynas IF (Sweden),99.0,4.0,48.0,103.0,SHL
1997,Forward,HC Kosice Jr. (Slovakia Jr.),435.0,311.0,,746.0,Tipos Extraliga
1997,Defence,Boston College (H-East),321.0,58.0,,379.0,NCAA
1997,Forward,Peterborough Petes (OHL),705.0,102.0,,807.0,OHL
1997,Forward,Denver (WCHA),483.0,168.0,,651.0,
1997,Forward,Prince Albert Raiders (WHL),37.0,3.0,,40.0,WHL
1997,Forward,MoDo Hockey Jr. (Sweden Jr.),58.0,6.0,,64.0,J20 Nationell
1997,Defence,Portland Winterhawks (WHL),907.0,225.0,,1132.0,WHL
1997,Forward,HC Chemopetrol (Czech),28.0,8.0,,36.0,Tipsport Extraliga
1997,Goalie,Des Moines Buccaneers (USHL),191.0,3.0,73.0,194.0,USHL
1997,Forward,Lethbridge Hurricanes (WHL),377.0,70.0,,447.0,WHL
1997,Forward,Skelleftea AIK (Sweden-2),83.0,27.0,,110.0,Allsvenskan
1997,Forward,Denver (WCHA),15.0,3.0,,18.0,
1997,Forward,Guelph Storm (OHL),32.0,3.0,,35.0,OHL
1997,Defence,HC Ziln Jr. (Czech Jr.),371.0,140.0,,511.0,Tipsport Extraliga
1997,Forward,Minnesota (WCHA),211.0,32.0,,243.0,
1997,Forward,Kelowna Rockets (WHL),385.0,162.0,,547.0,WHL
1997,Forward,Edmonton Ice (WHL),33.0,4.0,,37.0,WHL
1996,Defence,Prince Albert Raiders (WHL),1179.0,288.0,,1467.0,WHL
1996,Defence,Salavat Yulaev Ufa (Russia),496.0,120.0,,616.0,KHL
1996,Forward,Val-d'Or Foreurs (QMJHL),822.0,523.0,,1345.0,QMJHL
1996,Forward,Barrie Colts (OHL),3.0,0.0,,3.0,OHL
1996,Defence,Soo Greyhounds (OHL),231.0,77.0,,308.0,OHL
1996,Forward,Kitchener Rangers (OHL),627.0,179.0,,806.0,OHL
1996,Forward,Minnesota (WCHA),545.0,128.0,,673.0,
1996,Defence,Medicine Hat Tigers (WHL),44.0,1.0,,45.0,WHL
1996,Defence,Las Vegas Thunder (IHL),917.0,204.0,,1121.0,
1996,Defence,Red Deer Rebels (WHL),209.0,16.0,,225.0,WHL
1996,Defence,Tri-City Americans (WHL),82.0,8.0,,90.0,WHL
1996,Forward,Regina Pats (WHL),60.0,14.0,,74.0,WHL
1996,Defence,Regina Pats (WHL),1107.0,424.0,,1531.0,WHL
1996,Forward,Boston College (H-East),798.0,266.0,,1064.0,NCAA
1996,Forward,Pembroke (CJHL),1293.0,591.0,,1884.0,
1996,Defence,Hull Olympiques (QMJHL),5.0,0.0,,5.0,QMJHL
1996,Forward,Tri-City Americans (WHL),113.0,42.0,,155.0,WHL
1996,Forward,Moose Jaw Warriors (WHL),57.0,3.0,,60.0,WHL
1996,Defence,Shawinigan Cataractes (QMJHL),5.0,2.0,,7.0,QMJHL
1996,Forward,Djurgardens IF (Sweden),521.0,168.0,,689.0,SHL
1996,Forward,EV Landshut (Germany),938.0,487.0,,1425.0,DEL
1996,Forward,Drummondville Voltigeurs (QMJHL),973.0,696.0,,1669.0,QMJHL
1996,Defence,Shattuck-St. Mary's School (High-MN),32.0,2.0,,34.0,High School
1996,Defence,Red Deer Rebels (WHL),49.0,2.0,,51.0,WHL
1996,Defence,Saskatoon Blades (WHL),969.0,158.0,,1127.0,WHL
1996,Defence,HC Kladno (Czech),12.0,0.0,,12.0,Tipsport Extraliga
1996,Forward,Springfield (NEJHL),337.0,45.0,,382.0,
1996,Forward,Medicine Hat Tigers (WHL),341.0,76.0,,417.0,WHL
1996,Defence,St. Hyacinthe Laser (QMJHL),18.0,0.0,,18.0,QMJHL
1996,Defence,Guelph Storm (OHL),6.0,0.0,,6.0,OHL
1996,Forward,St. Cloud State (WCHA),1516.0,731.0,,2247.0,
1996,Defence,HC Dukla Jihlava (Czech),19.0,3.0,,22.0,Tipsport Extraliga
1996,Forward,HC Slovan Bratislava (Slovakia),73.0,30.0,,103.0,Tipos Extraliga
1996,Forward,Lethbridge Hurricanes (WHL),55.0,9.0,,64.0,WHL
1996,Forward,Val-d'Or Foreurs (QMJHL),524.0,108.0,,632.0,QMJHL
1996,Defence,Niagara Falls Thunder (OHL),2.0,0.0,,2.0,OHL
1996,Forward,Barrie Colts (OHL),552.0,245.0,,797.0,OHL
1996,Goalie,Victoriaville Tigres (QMJHL),341.0,7.0,144.0,348.0,QMJHL
1996,Forward,Moncton Alpines (QMJHL),142.0,58.0,,200.0,QMJHL
1996,Forward,Granby Predateurs (QMJHL),53.0,15.0,,68.0,QMJHL
1996,Defence,Hull Olympiques (QMJHL),797.0,129.0,,926.0,QMJHL
1996,Forward,Krylia Sovetov Moskva 2 (Russia-2),3.0,0.0,,3.0,VHL
1996,Defence,HK Dukla Trencin Jr. (Slovakia Jr.),1680.0,680.0,,2360.0,Tipos Extraliga
1996,Defence,Cushing Academy (High-MA),824.0,327.0,,1151.0,High School
1996,Defence,Kingston Frontenacs (OHL),2.0,0.0,,2.0,OHL
1996,Forward,Kelowna Rockets (WHL),308.0,21.0,,329.0,WHL
1996,Forward,CSKA Moskva (Russia),493.0,217.0,,710.0,KHL
1996,Forward,Beauport Harfangs (QMJHL),108.0,5.0,,113.0,QMJHL
1996,Forward,Sarnia Sting (OHL),469.0,139.0,,608.0,OHL
1996,Forward,Red Deer Rebels (WHL),789.0,208.0,,997.0,WHL
1996,Forward,Regina Pats (WHL),31.0,3.0,,34.0,WHL
1996,Defence,Tri-City Americans (WHL),21.0,2.0,,23.0,WHL
1996,Forward,St. Cloud State (WCHA),722.0,387.0,,1109.0,
1996,Defence,Jokerit Jr. (Finland Jr.),29.0,2.0,,31.0,SM-liiga
1996,Forward,Portland Winterhawks (WHL),73.0,5.0,,78.0,WHL
1996,Goalie,Oshawa Generals (OHL),3.0,0.0,0.0,3.0,OHL
1996,Forward,Harvard (ECAC),233.0,35.0,,268.0,
1996,Defence,Reipas Lahti (Finland-2),847.0,242.0,,1089.0,SM-liiga
1996,Defence,Huddinge IK (Sweden-2),47.0,16.0,,63.0,Allsvenskan
1996,Forward,Beauport Harfangs (QMJHL),820.0,358.0,,1178.0,QMJHL
1996,Forward,Spokane Chiefs (WHL),194.0,29.0,,223.0,WHL
1996,Forward,Kingston Frontenacs (OHL),675.0,149.0,,824.0,OHL
1996,Defence,HC Dukla Jihlava Jr. (Czech Jr.),963.0,309.0,,1272.0,Tipsport Extraliga
1996,Defence,Michigan (CCHA),37.0,10.0,,47.0,NCAA
1996,Forward,Owen Sound Platers (OHL),7.0,0.0,,7.0,OHL
1996,Defence,Lada Togliatti (Russia),30.0,2.0,,32.0,KHL
1996,Defence,HK Dukla Trencin (Slovakia),112.0,20.0,,132.0,Tipos Extraliga
1996,Forward,Detroit Jr. Whalers (OHL),172.0,10.0,,182.0,OHL
1996,Forward,Brynas IF (Sweden),613.0,250.0,,863.0,SHL
1996,Goalie,Boston University (H-East),3.0,0.0,0.0,3.0,NCAA
1996,Goalie,Detroit Jr. Whalers (OHL),186.0,8.0,78.0,194.0,OHL
1996,Defence,Pembroke (CJHL),2.0,0.0,,2.0,
1996,Forward,Guelph Storm (OHL),381.0,109.0,,490.0,OHL
1996,Defence,Maine (H-East),689.0,186.0,,875.0,NCAA
1996,Forward,Granby Predateurs (QMJHL),16.0,5.0,,21.0,QMJHL
1996,Forward,Army (NCAA-Ind.),503.0,90.0,,593.0,
1996,Forward,Victoriaville Tigres (QMJHL),77.0,25.0,,102.0,QMJHL
1996,Defence,Seattle Thunderbirds (WHL),1.0,0.0,,1.0,WHL
1996,Forward,Sarnia Sting (OHL),616.0,201.0,,817.0,OHL
1996,Forward,MoDo Hockey (Sweden),798.0,199.0,,997.0,SHL
